Township,HA_Num,HA_Name,HSDA_Num,HSDA_Name,LHA_Num,LHA_Name,Province
MACALISTER,1,Interior,14,Thompson Cariboo Shuswap,146,Cariboo/Chilcotin,BC
MACALLISTER,1,Interior,14,Thompson Cariboo Shuswap,146,Cariboo/Chilcotin,BC
MAGNA BAY,1,Interior,14,Thompson Cariboo Shuswap,143,Kamloops,BC
MAHOOD FALLS,1,Interior,14,Thompson Cariboo Shuswap,144,100 Mile House,BC
MAHOOD LAKE,1,Interior,14,Thompson Cariboo Shuswap,144,100 Mile House,BC
MAKINSON,1,Interior,12,Kootenay Boundary,124,Arrow Lakes,BC
MALAKWA,1,Interior,14,Thompson Cariboo Shuswap,142,Salmon Arm,BC
MANNING PARK,1,Interior,13,Okanagan,134,Princeton,BC
MARA,1,Interior,13,Okanagan,139,Enderby,BC
MARBLEHEAD,1,Interior,12,Kootenay Boundary,121,Kootenay Lake,BC
MARRON VALLEY,1,Interior,13,Okanagan,132,Penticton,BC
MARSH CREEK AREA,1,Interior,12,Kootenay Boundary,125,Trail,BC
MARTIN PRAIRIE,1,Interior,14,Thompson Cariboo Shuswap,143,Kamloops,BC
MARYSVILLE,1,Interior,11,East Kootenay,113,Kimberley,BC
MAYOOK,1,Interior,11,East Kootenay,112,Cranbrook,BC
MCCULLOCH,1,Interior,13,Okanagan,132,Penticton,BC
MCLEESE LAKE,1,Interior,14,Thompson Cariboo Shuswap,146,Cariboo/Chilcotin,BC
MCLURE,1,Interior,14,Thompson Cariboo Shuswap,143,Kamloops,BC
MCMURDO,1,Interior,11,East Kootenay,116,Golden,BC
MCMURPHY,1,Interior,14,Thompson Cariboo Shuswap,145,North Thompson,BC
MEACHEN,1,Interior,11,East Kootenay,113,Kimberley,BC
MEADOW CREEK,1,Interior,12,Kootenay Boundary,121,Kootenay Lake,BC
MEADOWS,1,Interior,12,Kootenay Boundary,122,Nelson,BC
MELDRUM CREEK,1,Interior,14,Thompson Cariboo Shuswap,146,Cariboo/Chilcotin,BC
MERRITT,1,Interior,14,Thompson Cariboo Shuswap,149,Merritt,BC
MESSITER,1,Interior,14,Thompson Cariboo Shuswap,145,North Thompson,BC
MICA CREEK,1,Interior,14,Thompson Cariboo Shuswap,141,Revelstoke,BC
MICHEL,1,Interior,14,Thompson Cariboo Shuswap,146,Cariboo/Chilcotin,BC
MIDWAY,1,Interior,12,Kootenay Boundary,127,Kettle Valley,BC
MIOCENE,1,Interior,14,Thompson Cariboo Shuswap,146,Cariboo/Chilcotin,BC
MIRROR LAKE,1,Interior,12,Kootenay Boundary,121,Kootenay Lake,BC
MISSEZULA LAKE,1,Interior,13,Okanagan,134,Princeton,BC
MOHA,1,Interior,14,Thompson Cariboo Shuswap,147,Lillooet,BC
MONTE CREEK,1,Interior,14,Thompson Cariboo Shuswap,143,Kamloops,BC
MONTE LAKE,1,Interior,14,Thompson Cariboo Shuswap,143,Kamloops,BC
MONTROSE,1,Interior,12,Kootenay Boundary,125,Trail,BC
MOOSE VALLEY,1,Interior,14,Thompson Cariboo Shuswap,144,100 Mile House,BC
MORRISSEY,1,Interior,11,East Kootenay,111,Fernie,BC
MOUNT BALDY,1,Interior,12,Kootenay Boundary,127,Kettle Valley,BC
MOYIE,1,Interior,11,East Kootenay,112,Cranbrook,BC
MOYIE LAKE,1,Interior,11,East Kootenay,112,Cranbrook,BC
MYRA,1,Interior,13,Okanagan,132,Penticton,BC
NAHUN,1,Interior,13,Okanagan,137,Central Okanagan,BC
NAKUSP,1,Interior,12,Kootenay Boundary,124,Arrow Lakes,BC
NARAMATA,1,Interior,13,Okanagan,132,Penticton,BC
NASOOKIN ROAD SUBDIVISION,1,Interior,12,Kootenay Boundary,122,Nelson,BC
NATAL,1,Interior,11,East Kootenay,111,Fernie,BC
NEEDLES,1,Interior,12,Kootenay Boundary,124,Arrow Lakes,BC
NELSON,1,Interior,12,Kootenay Boundary,122,Nelson,BC
NELWAY,1,Interior,12,Kootenay Boundary,122,Nelson,BC
NEMAIAH VALLEY,1,Interior,14,Thompson Cariboo Shuswap,146,Cariboo/Chilcotin,BC
NEMIAH VALLEY,1,Interior,14,Thompson Cariboo Shuswap,146,Cariboo/Chilcotin,BC
NEW DENVER,1,Interior,12,Kootenay Boundary,124,Arrow Lakes,BC
NEW SETTLEMENT,1,Interior,12,Kootenay Boundary,123,Castlegar,BC
NEWGATE,1,Interior,11,East Kootenay,111,Fernie,BC
NICHOLSON,1,Interior,11,East Kootenay,116,Golden,BC
NICKS ISLAND,1,Interior,11,East Kootenay,115,Creston,BC
NICOLA,1,Interior,14,Thompson Cariboo Shuswap,149,Merritt,BC
NORTH BONAPARTE,1,Interior,14,Thompson Cariboo Shuswap,144,100 Mile House,BC
NOTCH HILL,1,Interior,14,Thompson Cariboo Shuswap,142,Salmon Arm,BC
OASIS,1,Interior,12,Kootenay Boundary,125,Trail,BC
OGDEN,1,Interior,14,Thompson Cariboo Shuswap,147,Lillooet,BC
OKANAGAN CENTRE,1,Interior,13,Okanagan,137,Central Okanagan,BC
OKANAGAN FALLS,1,Interior,13,Okanagan,131,Southern Okanagan,BC
OKANAGAN LAKE,1,Interior,13,Okanagan,137,Central Okanagan,BC
OLALLA,1,Interior,13,Okanagan,133,Keremeos,BC
OLD TOWN,1,Interior,11,East Kootenay,112,Cranbrook,BC
OLIVER,1,Interior,13,Okanagan,131,Southern Okanagan,BC
OOTISCHENIA,1,Interior,12,Kootenay Boundary,123,Castlegar,BC
OSOYOOS,1,Interior,13,Okanagan,131,Southern Okanagan,BC
OSPREY LAKE,1,Interior,13,Okanagan,134,Princeton,BC
OYAMA,1,Interior,13,Okanagan,137,Central Okanagan,BC
PALLISER,1,Interior,11,East Kootenay,116,Golden,BC
PANORAMA,1,Interior,11,East Kootenay,114,Windermere,BC
PANORAMA MOUNTAIN VILLAGE,1,Interior,11,East Kootenay,114,Windermere,BC
PANORAMA RESORT,1,Interior,11,East Kootenay,114,Windermere,BC
PARADISE POINT,1,Interior,14,Thompson Cariboo Shuswap,142,Salmon Arm,BC
PARK SIDING,1,Interior,12,Kootenay Boundary,125,Trail,BC
PARSON,1,Interior,11,East Kootenay,116,Golden,BC
PASS CREEK,1,Interior,12,Kootenay Boundary,123,Castlegar,BC
PASSMORE,1,Interior,12,Kootenay Boundary,122,Nelson,BC
PATERSON,1,Interior,12,Kootenay Boundary,125,Trail,BC
PAUL LAKE,1,Interior,14,Thompson Cariboo Shuswap,143,Kamloops,BC
PAULSON,1,Interior,12,Kootenay Boundary,126,Grand Forks,BC
PAVILION,1,Interior,14,Thompson Cariboo Shuswap,147,Lillooet,BC
PAVILLION,1,Interior,14,Thompson Cariboo Shuswap,147,Lillooet,BC
PEACHLAND,1,Interior,13,Okanagan,137,Central Okanagan,BC
PENTICTON,1,Interior,13,Okanagan,132,Penticton,BC
PERRY SIDING,1,Interior,12,Kootenay Boundary,122,Nelson,BC
PERRYS,1,Interior,12,Kootenay Boundary,122,Nelson,BC
PHOENIX,1,Interior,12,Kootenay Boundary,126,Grand Forks,BC
PILOT BAY,1,Interior,12,Kootenay Boundary,121,Kootenay Lake,BC
PINANTAN LAKE,1,Interior,14,Thompson Cariboo Shuswap,143,Kamloops,BC
PLAYMOR JUNCTION,1,Interior,12,Kootenay Boundary,122,Nelson,BC
POPLAR CREEK,1,Interior,12,Kootenay Boundary,121,Kootenay Lake,BC
PORTO RICO,1,Interior,12,Kootenay Boundary,122,Nelson,BC
POSTILL,1,Interior,13,Okanagan,137,Central Okanagan,BC
POUPORE,1,Interior,12,Kootenay Boundary,125,Trail,BC
PREMIER LAKE,1,Interior,11,East Kootenay,113,Kimberley,BC
PRESSY LAKE,1,Interior,14,Thompson Cariboo Shuswap,144,100 Mile House,BC
PRINCETON,1,Interior,13,Okanagan,134,Princeton,BC
PRITCHARD,1,Interior,14,Thompson Cariboo Shuswap,143,Kamloops,BC
PROCTER,1,Interior,12,Kootenay Boundary,122,Nelson,BC
QUEENS BAY,1,Interior,12,Kootenay Boundary,122,Nelson,BC
QUESNEL FORKS,1,Interior,14,Thompson Cariboo Shuswap,146,Cariboo/Chilcotin,BC
QUILCHENA,1,Interior,14,Thompson Cariboo Shuswap,149,Merritt,BC
RADIUM,1,Interior,11,East Kootenay,114,Windermere,BC
RADIUM HOT SPRINGS,1,Interior,11,East Kootenay,114,Windermere,BC
RAIL LAKE,1,Interior,14,Thompson Cariboo Shuswap,144,100 Mile House,BC
RANCHERO,1,Interior,14,Thompson Cariboo Shuswap,142,Salmon Arm,BC
RASPBERRY,1,Interior,12,Kootenay Boundary,123,Castlegar,BC
RED MOUNTAIN,1,Interior,12,Kootenay Boundary,125,Trail,BC
REDSTONE,1,Interior,14,Thompson Cariboo Shuswap,146,Cariboo/Chilcotin,BC
REMAC,1,Interior,12,Kootenay Boundary,122,Nelson,BC
RENATA,1,Interior,12,Kootenay Boundary,123,Castlegar,BC
RETALLACK,1,Interior,12,Kootenay Boundary,121,Kootenay Lake,BC
REVELSTOKE,1,Interior,14,Thompson Cariboo Shuswap,141,Revelstoke,BC
RHONE,1,Interior,12,Kootenay Boundary,127,Kettle Valley,BC
RIONDEL,1,Interior,12,Kootenay Boundary,121,Kootenay Lake,BC
RISKE CREEK,1,Interior,14,Thompson Cariboo Shuswap,146,Cariboo/Chilcotin,BC
ROBSON,1,Interior,12,Kootenay Boundary,123,Castlegar,BC
ROCHE LAKE,1,Interior,14,Thompson Cariboo Shuswap,143,Kamloops,BC
ROCK CREEK,1,Interior,12,Kootenay Boundary,127,Kettle Valley,BC
ROE LAKE,1,Interior,14,Thompson Cariboo Shuswap,144,100 Mile House,BC
ROGERS,1,Interior,11,East Kootenay,116,Golden,BC
ROGERS PASS,1,Interior,11,East Kootenay,116,Golden,BC
ROOSVILLE,1,Interior,11,East Kootenay,111,Fernie,BC
ROSEBERY,1,Interior,12,Kootenay Boundary,124,Arrow Lakes,BC
ROSS SPUR,1,Interior,12,Kootenay Boundary,122,Nelson,BC
ROSSLAND,1,Interior,12,Kootenay Boundary,125,Trail,BC
ROUND LAKE,1,Interior,13,Okanagan,136,Vernon,BC
ROUND PRAIRIE,1,Interior,11,East Kootenay,111,Fernie,BC
RUTLAND,1,Interior,13,Okanagan,137,Central Okanagan,BC
RYAN,1,Interior,11,East Kootenay,115,Creston,BC
RYKERTS,1,Interior,11,East Kootenay,115,Creston,BC
SAINT IVES,1,Interior,14,Thompson Cariboo Shuswap,143,Kamloops,BC
SALMO,1,Interior,12,Kootenay Boundary,122,Nelson,BC
SALMON ARM,1,Interior,14,Thompson Cariboo Shuswap,142,Salmon Arm,BC
SANCA,1,Interior,11,East Kootenay,115,Creston,BC
SANDON,1,Interior,12,Kootenay Boundary,124,Arrow Lakes,BC
SAVONA,1,Interior,14,Thompson Cariboo Shuswap,143,Kamloops,BC
SCHROEDER CREEK,1,Interior,12,Kootenay Boundary,121,Kootenay Lake,BC
SCOTCH CREEK,1,Interior,14,Thompson Cariboo Shuswap,143,Kamloops,BC
SETON PORTAGE,1,Interior,14,Thompson Cariboo Shuswap,147,Lillooet,BC
SEYMOUR ARM,1,Interior,14,Thompson Cariboo Shuswap,143,Kamloops,BC
SHALALTH,1,Interior,14,Thompson Cariboo Shuswap,147,Lillooet,BC
SHELTER BAY,1,Interior,14,Thompson Cariboo Shuswap,141,Revelstoke,BC
SHERIDAN LAKE,1,Interior,14,Thompson Cariboo Shuswap,144,100 Mile House,BC
SHINGLE CREEK,1,Interior,13,Okanagan,132,Penticton,BC
SHOREACRES,1,Interior,12,Kootenay Boundary,123,Castlegar,BC
SHOREHOLME,1,Interior,12,Kootenay Boundary,124,Arrow Lakes,BC
SHUSWAP,1,Interior,14,Thompson Cariboo Shuswap,143,Kamloops,BC
SHUSWAP FALLS,1,Interior,13,Okanagan,136,Vernon,BC
SHUTTY BENCH,1,Interior,12,Kootenay Boundary,121,Kootenay Lake,BC
SICAMOUS,1,Interior,14,Thompson Cariboo Shuswap,142,Salmon Arm,BC
SILICA,1,Interior,12,Kootenay Boundary,125,Trail,BC
SILVER CREEK,1,Interior,14,Thompson Cariboo Shuswap,142,Salmon Arm,BC
SILVERTON,1,Interior,12,Kootenay Boundary,124,Arrow Lakes,BC
SIRDAR,1,Interior,11,East Kootenay,115,Creston,BC
SKEETCHESTN,1,Interior,14,Thompson Cariboo Shuswap,143,Kamloops,BC
SKOOKUMCHUCK,1,Interior,11,East Kootenay,113,Kimberley,BC
SKOOKUMCHUCK (INTERIOR),1,Interior,11,East Kootenay,113,Kimberley,BC
SLOCAN,1,Interior,12,Kootenay Boundary,122,Nelson,BC
SLOCAN LAKE,1,Interior,12,Kootenay Boundary,124,Arrow Lakes,BC
SLOCAN PARK,1,Interior,12,Kootenay Boundary,122,Nelson,BC
SODA CREEK,1,Interior,14,Thompson Cariboo Shuswap,146,Cariboo/Chilcotin,BC
SOLSQUA,1,Interior,14,Thompson Cariboo Shuswap,142,Salmon Arm,BC
SORRENTO,1,Interior,14,Thompson Cariboo Shuswap,142,Salmon Arm,BC
SOUTH SLOCAN,1,Interior,12,Kootenay Boundary,122,Nelson,BC
SPALLUMCHEEN,1,Interior,13,Okanagan,135,Armstrong/Spallumcheen,BC
SPARWOOD,1,Interior,11,East Kootenay,111,Fernie,BC
SPATSUM,1,Interior,14,Thompson Cariboo Shuswap,148,South Cariboo,BC
SPENCES BRIDGE,1,Interior,14,Thompson Cariboo Shuswap,148,South Cariboo,BC
SPILLAMACHEEN,1,Interior,11,East Kootenay,114,Windermere,BC
SPILLIMACHEEN,1,Interior,11,East Kootenay,114,Windermere,BC
SPRINGHOUSE,1,Interior,14,Thompson Cariboo Shuswap,146,Cariboo/Chilcotin,BC
SPUR VALLEY SUBDIVISION,1,Interior,11,East Kootenay,114,Windermere,BC
SQUILAX,1,Interior,14,Thompson Cariboo Shuswap,143,Kamloops,BC
ST. ANDREWS,1,Interior,13,Okanagan,132,Penticton,BC
ST. EUGENE MISSION,1,Interior,11,East Kootenay,112,Cranbrook,BC
ST. IVES,1,Interior,14,Thompson Cariboo Shuswap,143,Kamloops,BC
ST. JOSEPH MISSION,1,Interior,14,Thompson Cariboo Shuswap,146,Cariboo/Chilcotin,BC
STEPHEN,1,Interior,11,East Kootenay,116,Golden,BC
STUMP LAKE,1,Interior,14,Thompson Cariboo Shuswap,149,Merritt,BC
SUGARCANE,1,Interior,14,Thompson Cariboo Shuswap,146,Cariboo/Chilcotin,BC
SULPHUROUS LAKE,1,Interior,14,Thompson Cariboo Shuswap,144,100 Mile House,BC
SUMMERLAND,1,Interior,13,Okanagan,138,Summerland,BC
SUMMIT LAKE (INTERIOR),1,Interior,12,Kootenay Boundary,124,Arrow Lakes,BC
SUN PEAKS,1,Interior,14,Thompson Cariboo Shuswap,143,Kamloops,BC
SUNNYBRAE,1,Interior,14,Thompson Cariboo Shuswap,142,Salmon Arm,BC
SUNSHINE BAY,1,Interior,12,Kootenay Boundary,122,Nelson,BC
SWANSEA POINT,1,Interior,14,Thompson Cariboo Shuswap,142,Salmon Arm,BC
SYRINGA CREEK,1,Interior,12,Kootenay Boundary,123,Castlegar,BC
TA TA CREEK,1,Interior,11,East Kootenay,113,Kimberley,BC
TADANAC,1,Interior,12,Kootenay Boundary,125,Trail,BC
TAFT,1,Interior,14,Thompson Cariboo Shuswap,142,Salmon Arm,BC
TAGHUM,1,Interior,12,Kootenay Boundary,122,Nelson,BC
TAPPEN,1,Interior,14,Thompson Cariboo Shuswap,142,Salmon Arm,BC
TARRYS,1,Interior,12,Kootenay Boundary,123,Castlegar,BC
TATA CREEK,1,Interior,11,East Kootenay,113,Kimberley,BC
TATLA LAKE,1,Interior,14,Thompson Cariboo Shuswap,146,Cariboo/Chilcotin,BC
TATLAYOKO LAKE,1,Interior,14,Thompson Cariboo Shuswap,146,Cariboo/Chilcotin,BC
TATTON,1,Interior,14,Thompson Cariboo Shuswap,144,100 Mile House,BC
THREE FORKS,1,Interior,12,Kootenay Boundary,124,Arrow Lakes,BC
THREE VALLEY,1,Interior,14,Thompson Cariboo Shuswap,142,Salmon Arm,BC
THREE VALLEY GAP,1,Interior,14,Thompson Cariboo Shuswap,142,Salmon Arm,BC
THRUMS,1,Interior,12,Kootenay Boundary,123,Castlegar,BC
THUNDER RIVER,1,Interior,14,Thompson Cariboo Shuswap,145,North Thompson,BC
TOBY CREEK,1,Interior,11,East Kootenay,114,Windermere,BC
TRADERS COVE,1,Interior,13,Okanagan,137,Central Okanagan,BC
TRAIL,1,Interior,12,Kootenay Boundary,125,Trail,BC
TRANQUILLE,1,Interior,14,Thompson Cariboo Shuswap,143,Kamloops,BC
TREPANIER,1,Interior,13,Okanagan,137,Central Okanagan,BC
TRINITY VALLEY,1,Interior,13,Okanagan,136,Vernon,BC
TROUT CREEK,1,Interior,13,Okanagan,138,Summerland,BC
TROUT LAKE,1,Interior,12,Kootenay Boundary,124,Arrow Lakes,BC
TULAMEEN,1,Interior,13,Okanagan,134,Princeton,BC
TURTLE VALLEY,1,Interior,14,Thompson Cariboo Shuswap,143,Kamloops,BC
TWIN BAYS,1,Interior,11,East Kootenay,115,Creston,BC
TYE,1,Interior,11,East Kootenay,115,Creston,BC
VALLEYVIEW,1,Interior,14,Thompson Cariboo Shuswap,143,Kamloops,BC
VALLICAN,1,Interior,12,Kootenay Boundary,122,Nelson,BC
VASEAUX LAKE,1,Interior,13,Okanagan,131,Southern Okanagan,BC
VAVENBY,1,Interior,14,Thompson Cariboo Shuswap,145,North Thompson,BC
VENABLES VALLEY,1,Interior,14,Thompson Cariboo Shuswap,148,South Cariboo,BC
VERMILION CROSSING,1,Interior,11,East Kootenay,114,Windermere,BC
VERNON,1,Interior,13,Okanagan,136,Vernon,BC
VIDETTE,1,Interior,14,Thompson Cariboo Shuswap,143,Kamloops,BC
VINSULLA,1,Interior,14,Thompson Cariboo Shuswap,143,Kamloops,BC
WALACHIN,1,Interior,14,Thompson Cariboo Shuswap,148,South Cariboo,BC
WALHACHIN,1,Interior,14,Thompson Cariboo Shuswap,148,South Cariboo,BC
WALKERS,1,Interior,12,Kootenay Boundary,121,Kootenay Lake,BC
WANETA,1,Interior,12,Kootenay Boundary,125,Trail,BC
WARDNER,1,Interior,11,East Kootenay,112,Cranbrook,BC
WARFIELD,1,Interior,12,Kootenay Boundary,125,Trail,BC
WASA,1,Interior,11,East Kootenay,113,Kimberley,BC
WATCH LAKE,1,Interior,14,Thompson Cariboo Shuswap,144,100 Mile House,BC
WEST BENCH,1,Interior,13,Okanagan,132,Penticton,BC
WEST KELOWNA,1,Interior,13,Okanagan,137,Central Okanagan,BC
WEST MARA LAKE,1,Interior,14,Thompson Cariboo Shuswap,142,Salmon Arm,BC
WEST MIDWAY,1,Interior,12,Kootenay Boundary,127,Kettle Valley,BC
WESTBANK,1,Interior,13,Okanagan,137,Central Okanagan,BC
WESTBRIDGE,1,Interior,12,Kootenay Boundary,127,Kettle Valley,BC
WESTWOLD,1,Interior,14,Thompson Cariboo Shuswap,143,Kamloops,BC
WHITE LAKE,1,Interior,14,Thompson Cariboo Shuswap,142,Salmon Arm,BC
WHITECROFT,1,Interior,14,Thompson Cariboo Shuswap,143,Kamloops,BC
WILLIAMS LAKE,1,Interior,14,Thompson Cariboo Shuswap,146,Cariboo/Chilcotin,BC
WILLOW POINT,1,Interior,12,Kootenay Boundary,122,Nelson,BC
WILLOWBROOK,1,Interior,13,Okanagan,131,Southern Okanagan,BC
WILMER,1,Interior,11,East Kootenay,114,Windermere,BC
WILSON LANDING,1,Interior,13,Okanagan,137,Central Okanagan,BC
WINDERMERE,1,Interior,11,East Kootenay,114,Windermere,BC
WINFIELD (BC),1,Interior,13,Okanagan,137,Central Okanagan,BC
WINLAW,1,Interior,12,Kootenay Boundary,122,Nelson,BC
WOODS LANDING,1,Interior,14,Thompson Cariboo Shuswap,143,Kamloops,BC
WRIGHT,1,Interior,14,Thompson Cariboo Shuswap,144,100 Mile House,BC
WYCLIFFE,1,Interior,11,East Kootenay,112,Cranbrook,BC
WYNNDEL,1,Interior,11,East Kootenay,115,Creston,BC
YAHK,1,Interior,11,East Kootenay,115,Creston,BC
YANKEE FLATS,1,Interior,14,Thompson Cariboo Shuswap,142,Salmon Arm,BC
YMIR,1,Interior,12,Kootenay Boundary,122,Nelson,BC
ZAMORA,1,Interior,12,Kootenay Boundary,127,Kettle Valley,BC
ZINCTON,1,Interior,12,Kootenay Boundary,124,Arrow Lakes,BC
ABBOTSFORD,2,Fraser,21,Fraser East,213,Abbotsford,BC
AGASSIZ,2,Fraser,21,Fraser East,215,Agassiz/Harrison,BC
ALBION,2,Fraser,22,Fraser North,223,Maple Ridge/Pitt Meadows,BC
ALDERGROVE,2,Fraser,23,Fraser South,231,Langley,BC
ANMORE,2,Fraser,22,Fraser North,224,Tri-Cities,BC
BARNSTON ISLAND,2,Fraser,23,Fraser South,233,Surrey,BC
BEAR CREEK,2,Fraser,21,Fraser East,215,Agassiz/Harrison,BC
BELCARRA,2,Fraser,22,Fraser North,224,Tri-Cities,BC
BOSTON BAR,2,Fraser,21,Fraser East,211,Hope,BC
BOUNDARY BAY,2,Fraser,23,Fraser South,232,Delta,BC
BRADNER,2,Fraser,21,Fraser East,213,Abbotsford,BC
BRIDAL FALLS,2,Fraser,21,Fraser East,212,Chilliwack,BC
BURNABY,2,Fraser,22,Fraser North,222,Burnaby,BC
CANOE PASS,2,Fraser,23,Fraser South,232,Delta,BC
CANYON ALPINE,2,Fraser,21,Fraser East,211,Hope,BC
CHAPMANS,2,Fraser,21,Fraser East,211,Hope,BC
CHEHALIS,2,Fraser,21,Fraser East,215,Agassiz/Harrison,BC
CHILLIWACK,2,Fraser,21,Fraser East,212,Chilliwack,BC
CHOATE,2,Fraser,21,Fraser East,211,Hope,BC
CLEARBROOK,2,Fraser,21,Fraser East,213,Abbotsford,BC
CLOVERDALE,2,Fraser,23,Fraser South,233,Surrey,BC
COQUITLAM,2,Fraser,22,Fraser North,224,Tri-Cities,BC
CULTUS LAKE,2,Fraser,21,Fraser East,212,Chilliwack,BC
DELTA,2,Fraser,23,Fraser South,232,Delta,BC
DEROCHE,2,Fraser,21,Fraser East,214,Mission,BC
DEWDNEY,2,Fraser,21,Fraser East,214,Mission,BC
DOGWOOD VALLEY,2,Fraser,21,Fraser East,211,Hope,BC
DOUGLAS,2,Fraser,23,Fraser South,234,South Surrey/White Rock,BC
DURIEU,2,Fraser,21,Fraser East,214,Mission,BC
FORT LANGLEY,2,Fraser,23,Fraser South,231,Langley,BC
FRASER MILLS,2,Fraser,22,Fraser North,224,Tri-Cities,BC
FRASER VALLEY REGIONAL,2,Fraser,21,Fraser East,212,Chilliwack,BC
GOLD CREEK,2,Fraser,22,Fraser North,223,Maple Ridge/Pitt Meadows,BC
HAMMOND,2,Fraser,22,Fraser North,223,Maple Ridge/Pitt Meadows,BC
HANEY,2,Fraser,22,Fraser North,223,Maple Ridge/Pitt Meadows,BC
HARRISON HOT SPRINGS,2,Fraser,21,Fraser East,215,Agassiz/Harrison,BC
HARRISON MILLS,2,Fraser,21,Fraser East,215,Agassiz/Harrison,BC
HATZIC,2,Fraser,21,Fraser East,214,Mission,BC
HELLS GATE,2,Fraser,21,Fraser East,211,Hope,BC
HEMLOCK VALLEY,2,Fraser,21,Fraser East,215,Agassiz/Harrison,BC
HOPE,2,Fraser,21,Fraser East,211,Hope,BC
HUNTINGDON,2,Fraser,21,Fraser East,213,Abbotsford,BC
KEEFERS,2,Fraser,21,Fraser East,211,Hope,BC
KENT,2,Fraser,21,Fraser East,215,Agassiz/Harrison,BC
LADNER,2,Fraser,23,Fraser South,232,Delta,BC
LAIDLAW,2,Fraser,21,Fraser East,211,Hope,BC
LAKE ERROCH,2,Fraser,21,Fraser East,214,Mission,BC
LAKE ERROCK,2,Fraser,21,Fraser East,214,Mission,BC
LANGLEY,2,Fraser,23,Fraser South,231,Langley,BC
LINDELL BEACH,2,Fraser,21,Fraser East,212,Chilliwack,BC
MAPLE RIDGE,2,Fraser,22,Fraser North,223,Maple Ridge/Pitt Meadows,BC
MATSQUI,2,Fraser,21,Fraser East,213,Abbotsford,BC
MILNER,2,Fraser,23,Fraser South,231,Langley,BC
MIRACLE VALLEY,2,Fraser,21,Fraser East,214,Mission,BC
MISSION,2,Fraser,21,Fraser East,214,Mission,BC
MOUNT LEHMAN,2,Fraser,21,Fraser East,213,Abbotsford,BC
NEW WESTMINSTER,2,Fraser,22,Fraser North,221,New Westminster,BC
NEWTON,2,Fraser,23,Fraser South,233,Surrey,BC
NORTH BEND,2,Fraser,21,Fraser East,211,Hope,BC
NORTH DELTA,2,Fraser,23,Fraser South,232,Delta,BC
PITT MEADOWS,2,Fraser,22,Fraser North,223,Maple Ridge/Pitt Meadows,BC
POPKUM,2,Fraser,21,Fraser East,212,Chilliwack,BC
PORT COQUITLAM,2,Fraser,22,Fraser North,224,Tri-Cities,BC
PORT DOUGLAS,2,Fraser,21,Fraser East,215,Agassiz/Harrison,BC
PORT KELLS,2,Fraser,23,Fraser South,233,Surrey,BC
PORT MANN,2,Fraser,23,Fraser South,233,Surrey,BC
PORT MOODY,2,Fraser,22,Fraser North,224,Tri-Cities,BC
RIDGE MEADOWS,2,Fraser,22,Fraser North,223,Maple Ridge/Pitt Meadows,BC
ROSEDALE,2,Fraser,21,Fraser East,212,Chilliwack,BC
RUBY CREEK,2,Fraser,21,Fraser East,215,Agassiz/Harrison,BC
SARDIS,2,Fraser,21,Fraser East,212,Chilliwack,BC
SEABIRD ISLAND,2,Fraser,21,Fraser East,215,Agassiz/Harrison,BC
SILVER RIVER,2,Fraser,21,Fraser East,215,Agassiz/Harrison,BC
SKATIN,2,Fraser,21,Fraser East,215,Agassiz/Harrison,BC
SKATIN (SKOOKUMCHUCK),2,Fraser,21,Fraser East,215,Agassiz/Harrison,BC
SLESSE PARK,2,Fraser,21,Fraser East,212,Chilliwack,BC
SPUZZUM,2,Fraser,21,Fraser East,211,Hope,BC
SQUEAH,2,Fraser,21,Fraser East,211,Hope,BC
SUMAS,2,Fraser,21,Fraser East,213,Abbotsford,BC
SUNSHINE VALLEY,2,Fraser,21,Fraser East,211,Hope,BC
SURREY,2,Fraser,23,Fraser South,233,Surrey,BC
TIPELLA,2,Fraser,21,Fraser East,215,Agassiz/Harrison,BC
TSAWWASSEN,2,Fraser,23,Fraser South,232,Delta,BC
VEDDER CROSSING,2,Fraser,21,Fraser East,212,Chilliwack,BC
WHALLEY,2,Fraser,23,Fraser South,233,Surrey,BC
WHITE ROCK,2,Fraser,23,Fraser South,234,South Surrey/White Rock,BC
WHONNOCK,2,Fraser,22,Fraser North,223,Maple Ridge/Pitt Meadows,BC
YALE,2,Fraser,21,Fraser East,211,Hope,BC
YARROW,2,Fraser,21,Fraser East,212,Chilliwack,BC
ALICE LAKE,3,Vancouver Coastal,33,North Shore/Coast Garibaldi,335,Howe Sound,BC
ANAHEIM,3,Vancouver Coastal,33,North Shore/Coast Garibaldi,336,Bella Coola Valley,BC
ANAHIM LAKE,3,Vancouver Coastal,33,North Shore/Coast Garibaldi,336,Bella Coola Valley,BC
ANDERSON LAKE,3,Vancouver Coastal,33,North Shore/Coast Garibaldi,335,Howe Sound,BC
ANVIL ISLAND,3,Vancouver Coastal,33,North Shore/Coast Garibaldi,333,Sunshine Coast,BC
ATNARKO,3,Vancouver Coastal,33,North Shore/Coast Garibaldi,336,Bella Coola Valley,BC
BELLA BELLA,3,Vancouver Coastal,33,North Shore/Coast Garibaldi,337,Central Coast,BC
BELLA COOLA,3,Vancouver Coastal,33,North Shore/Coast Garibaldi,336,Bella Coola Valley,BC
BILLINGS BAY,3,Vancouver Coastal,33,North Shore/Coast Garibaldi,333,Sunshine Coast,BC
